college_name,student_name,mentor_name,department_name,academic_year,total_students,total_departments,total_faculty,year_of_study,student_count,faculty_count,student_faculty_ratio,avg_attendance_pct,hackathon_id,hackathon_name,hackathon_type,conducting_body,participation_level,mode,total_registered_students,total_participants,teams_formed,departments_participated,female_participation_pct,projects_submitted,projects_completed,shortlisted_projects,prizes_won_count,prize_level,problem_solving_score_avg,students_placed,placement_percentage,avg_package_lpa,highest_package_lpa,companies_visited,hackathon_to_placement_ratio,internships_offered,ppo_offers,lab_utilization_pct,software_tools_used,budget_allocated,budget_utilized,cost_per_student,repeat_participants_pct,dropout_from_hackathon,attendance_vs_participation_corr,academic_vs_hackathon_corr,month,quarter,year,yoy_participation_growth,yoy_placement_growth
SASTRA Deemed University,Rahul Kumar 445,Prof. Lakshmi S.,CHEMICAL,2024-25,3389,9,224,1,140,12,16.1,86,H001,Smart India Hackathon,External,Government,National,Online,69,88,9,5,12,25,15,0,1,National,73,47,82,9.0,18.6,31,0.72,24,9,81,AutoCAD,45,36,24083,28,9,0.62,0.78,March,Q3,2025,22,4
Anna University,Karthik Iyer 205,Prof. Lakshmi S.,CHEMICAL,2023-24,3687,9,257,3,142,13,14.4,91,H001,Smart India Hackathon,External,Government,National,Online,85,75,8,8,15,12,18,10,2,College,86,90,83,5.4,21.7,14,0.31,20,15,94,Python,49,44,25318,32,15,0.65,0.5,January,Q1,2025,12,9
Amrita Vishwa Vidyapeetham,Meera Gupta 154,Prof. Aruna D.,AI&DS,2024-25,3010,9,195,4,176,8,18.0,91,H001,Smart India Hackathon,External,Government,National,Offline,116,71,22,9,42,16,19,7,1,,74,96,88,5.0,18.8,34,0.69,36,7,72,Cloud,24,36,18841,37,13,0.58,0.62,March,Q2,2023,17,8
Anna University,Sneha Patel 421,Prof. Lakshmi S.,MECH,2023-24,3177,9,249,1,179,12,10.6,83,H002,College Innovation Hackathon,Internal,College,College,Offline,118,89,25,3,34,18,2,5,2,,87,137,74,8.0,17.3,29,0.75,36,7,72,Cloud,51,19,21371,41,15,0.74,0.74,March,Q1,2025,23,4
SRM Institute of Science and Technology,Abhishek Das 483,Dr. Rajesh K.,ECE,2023-24,2872,9,186,4,126,12,13.3,84,H001,Smart India Hackathon,External,Government,National,Offline,63,63,11,9,36,11,4,7,0,College,90,119,54,7.4,21.3,30,0.32,6,7,67,Python,59,27,18908,28,18,0.72,0.63,March,Q4,2024,16,9
Anna University,Aditi Patel 125,Dr. Kavita J.,ECE,2022-23,3685,9,183,2,139,15,16.8,82,H002,College Innovation Hackathon,Internal,College,College,Offline,111,40,5,7,25,6,11,10,0,College,71,166,67,7.5,9.2,30,0.47,31,15,61,Cloud,43,58,22532,29,16,0.52,0.61,July,Q4,2025,18,12
Kumaraguru College of Technology,Karthik Das 180,Dr. Sunita M.,PETROLEUM,2023-24,3423,9,211,2,178,15,16.1,82,H001,Smart India Hackathon,External,Government,National,Offline,23,78,13,4,41,9,13,4,2,National,88,182,84,8.8,17.4,26,0.77,10,7,81,Cloud,55,33,26314,50,18,0.63,0.41,July,Q2,2025,12,13
Anna University,Sriya Reddy 504,Dr. Rajesh K.,PETROLEUM,2024-25,3204,9,234,4,200,11,13.5,84,H003,Industry CodeFest,External,Company,State,Offline,59,47,10,3,22,13,5,8,1,State,66,153,57,7.8,24.6,26,0.6,11,6,73,MATLAB,43,29,19952,20,7,0.56,0.79,July,Q2,2025,8,4
Vellore Institute of Technology (VIT),Priya Patel 296,Prof. Lakshmi S.,CHEMICAL,2023-24,3197,9,203,4,73,10,19.4,85,H002,College Innovation Hackathon,Internal,College,College,Online,28,66,18,3,13,7,6,9,2,College,67,60,75,8.1,18.3,35,0.61,38,12,83,Cloud,39,55,22025,39,4,0.69,0.7,March,Q2,2024,7,9
Amrita Vishwa Vidyapeetham,Sriya Patel 802,Prof. Ramesh B.,MECH,2022-23,2820,9,180,2,164,13,16.9,85,H003,Industry CodeFest,External,Company,State,Offline,24,44,12,8,28,25,16,1,1,National,85,190,77,7.5,23.9,23,0.36,19,4,72,MATLAB,24,21,17718,39,12,0.63,0.59,July,Q4,2024,21,19
Thiagarajar College of Engineering,Pooja Reddy 688,Dr. Kavita J.,CIVIL,2022-23,3384,9,221,1,214,10,10.3,77,H003,Industry CodeFest,External,Company,State,Online,117,49,21,3,21,18,18,10,3,National,65,179,67,7.3,16.4,12,0.54,31,10,75,Python,30,39,21744,51,12,0.72,0.56,January,Q4,2022,15,12
SRM Institute of Science and Technology,Divya Gupta 271,Dr. Kavita J.,PETROLEUM,2024-25,2502,9,249,1,178,12,10.5,86,H002,College Innovation Hackathon,Internal,College,College,Offline,99,78,23,6,13,9,10,8,1,National,74,154,47,3.7,18.7,35,0.42,15,9,90,Python,55,44,16527,34,6,0.63,0.45,March,Q4,2024,21,12
Amrita Vishwa Vidyapeetham,Sriya Sharma 497,Dr. Kavita J.,PHARMACY,2022-23,3435,9,250,4,97,12,11.9,89,H002,College Innovation Hackathon,Internal,College,College,Online,28,50,16,5,42,11,2,4,2,,87,68,68,6.7,13.9,27,0.68,29,14,75,MATLAB,35,54,21274,34,16,0.47,0.7,September,Q4,2023,20,5
Anna University,Abhishek Nair 396,Prof. Venkatesh R.,EEE,2023-24,2704,9,247,3,176,6,17.2,83,H001,Smart India Hackathon,External,Government,National,Online,29,75,11,5,35,23,4,5,3,National,80,154,95,6.7,18.5,17,0.62,23,7,60,Cloud,26,58,26532,26,17,0.52,0.52,January,Q1,2024,6,13
Kumaraguru College of Technology,Sneha Iyer 238,Dr. Kavita J.,PETROLEUM,2022-23,3000,9,247,3,165,15,16.8,75,H002,College Innovation Hackathon,Internal,College,College,Online,42,25,22,9,34,22,23,3,3,State,67,148,80,5.0,12.3,10,0.75,34,9,89,MATLAB,24,46,20661,39,16,0.73,0.58,July,Q2,2025,20,7
Kumaraguru College of Technology,Ananya Sharma 756,Dr. Kavita J.,MECH,2023-24,3677,9,217,4,135,6,19.8,91,H003,Industry CodeFest,External,Company,State,Offline,55,16,21,9,13,22,17,4,1,National,67,192,52,7.2,19.5,33,0.68,13,3,95,Python,39,46,15546,43,7,0.49,0.52,September,Q2,2023,9,15
IIT Madras,Meera Sharma 134,Dr. Amit V.,AI&DS,2023-24,3486,9,217,3,146,7,14.7,72,H001,Smart India Hackathon,External,Government,National,Online,116,43,24,8,35,20,13,1,3,College,68,167,47,6.2,19.4,31,0.43,29,11,61,MATLAB,50,19,25150,55,13,0.82,0.49,January,Q4,2024,25,17
Anna University,Meera Reddy 902,Dr. Sunita M.,ECE,2022-23,3123,9,243,2,89,7,12.3,87,H001,Smart India Hackathon,External,Government,National,Online,69,73,14,8,44,16,20,2,3,College,86,155,79,5.9,24.2,11,0.65,18,14,83,MATLAB,43,24,26234,43,14,0.47,0.51,January,Q4,2022,11,4
IIT Madras,Sneha Reddy 634,Dr. Suresh T.,CSE,2022-23,3656,9,206,3,77,14,12.1,76,H001,Smart India Hackathon,External,Government,National,Online,62,33,22,3,27,7,6,8,2,State,63,199,95,3.7,8.3,35,0.69,25,0,66,AutoCAD,23,26,27152,46,6,0.75,0.59,July,Q1,2025,21,11
SASTRA Deemed University,Nisha Singh 855,Prof. Lakshmi S.,CSE,2024-25,2563,9,187,3,182,12,14.3,73,H002,College Innovation Hackathon,Internal,College,College,Offline,111,71,5,3,30,22,6,1,1,National,79,192,77,6.8,13.5,29,0.57,34,13,61,Python,55,31,22046,48,10,0.62,0.73,September,Q4,2022,15,17
PSG College of Technology,Ananya Kumar 135,Prof. Aruna D.,PETROLEUM,2022-23,3906,9,240,3,77,7,18.3,72,H002,College Innovation Hackathon,Internal,College,College,Offline,32,62,7,7,13,21,19,8,2,College,73,120,95,7.5,20.8,37,0.76,8,9,93,AutoCAD,42,24,24468,52,9,0.51,0.59,January,Q3,2024,8,12
IIT Madras,Sanjay Sharma 940,Prof. Aruna D.,MECH,2024-25,3756,9,251,4,66,15,19.3,92,H003,Industry CodeFest,External,Company,State,Offline,23,38,11,8,29,13,13,0,1,State,78,198,65,3.9,20.6,10,0.35,38,6,79,Cloud,49,39,17578,43,12,0.74,0.71,January,Q1,2023,10,5
Coimbatore Institute of Technology (CIT),Arjun Nair 867,Dr. Meenakshi P.,ECE,2024-25,3368,9,242,3,215,13,14.1,76,H002,College Innovation Hackathon,Internal,College,College,Online,64,70,6,5,41,19,23,4,0,State,72,183,43,3.5,13.1,16,0.68,21,9,75,Python,20,49,27239,47,8,0.5,0.61,March,Q3,2022,17,5
Vellore Institute of Technology (VIT),Rahul Kumar 993,Dr. Suresh T.,PHARMACY,2022-23,3141,9,253,1,169,15,14.0,90,H002,College Innovation Hackathon,Internal,College,College,Offline,57,29,15,3,30,8,21,7,2,College,73,57,55,6.1,14.8,12,0.5,24,10,69,AutoCAD,30,22,23363,27,9,0.81,0.54,March,Q2,2022,9,12
Anna University,Sriya Iyer 952,Prof. Aruna D.,MECH,2022-23,3842,9,189,2,105,13,14.6,88,H003,Industry CodeFest,External,Company,State,Offline,107,87,23,8,30,23,12,2,3,College,75,143,80,5.3,12.7,11,0.48,9,9,84,Cloud,22,21,21041,38,5,0.71,0.79,January,Q4,2025,23,5
Coimbatore Institute of Technology (CIT),Karthik Das 387,Dr. Sunita M.,CIVIL,2024-25,3474,9,244,2,98,6,14.5,95,H002,College Innovation Hackathon,Internal,College,College,Offline,111,25,19,8,21,4,9,7,3,State,71,125,58,5.8,21.2,31,0.6,26,2,76,Python,55,42,19655,36,7,0.58,0.63,March,Q3,2024,25,16
IIT Madras,Meera Gupta 986,Prof. Lakshmi S.,EEE,2024-25,3271,9,222,1,92,14,10.9,91,H002,College Innovation Hackathon,Internal,College,College,Offline,85,61,3,5,29,8,8,5,3,State,67,65,49,4.0,22.4,13,0.55,39,1,76,Embedded,28,56,21172,29,8,0.52,0.68,March,Q4,2022,18,15
IIT Madras,Sriya Sharma 977,Prof. Lakshmi S.,MECH,2023-24,3419,9,209,4,196,9,13.1,95,H003,Industry CodeFest,External,Company,State,Offline,44,62,24,7,38,17,11,6,3,State,86,81,91,7.1,22.8,11,0.62,28,3,88,Python,38,23,27502,30,11,0.63,0.61,September,Q1,2023,19,15
IIT Madras,Meera Patel 174,Dr. Suresh T.,CSE,2023-24,3528,9,227,4,120,12,19.9,81,H001,Smart India Hackathon,External,Government,National,Online,23,55,6,9,31,7,6,0,2,,82,65,88,7.7,15.6,10,0.75,6,8,68,MATLAB,55,56,23647,47,6,0.76,0.5,January,Q1,2023,18,18
Thiagarajar College of Engineering,Pranav Nair 258,Dr. Sunita M.,ECE,2024-25,3597,9,182,1,191,15,12.4,74,H002,College Innovation Hackathon,Internal,College,College,Offline,74,15,22,5,25,21,15,2,0,National,62,164,74,6.5,24.8,27,0.31,35,1,95,Cloud,43,34,27244,21,14,0.77,0.54,January,Q3,2023,6,15
Coimbatore Institute of Technology (CIT),Rahul Gupta 402,Dr. Meenakshi P.,AI&DS,2022-23,3902,9,239,3,182,8,18.1,72,H003,Industry CodeFest,External,Company,State,Offline,24,52,9,3,22,4,12,4,3,,68,39,88,7.4,12.9,37,0.69,26,8,62,AutoCAD,47,43,27178,48,15,0.59,0.47,September,Q3,2024,7,17
SRM Institute of Science and Technology,Sriya Das 246,Prof. Aruna D.,ECE,2022-23,3617,9,217,4,142,7,10.8,91,H003,Industry CodeFest,External,Company,State,Offline,59,72,22,8,37,8,16,5,3,College,83,120,79,9.5,12.7,35,0.77,9,12,78,Embedded,30,19,17339,48,4,0.5,0.49,July,Q3,2025,23,5
Kumaraguru College of Technology,Deepak Reddy 853,Prof. Lakshmi S.,EEE,2023-24,3409,9,189,4,206,8,15.3,82,H002,College Innovation Hackathon,Internal,College,College,Offline,103,50,10,3,11,8,17,8,3,College,68,96,85,6.2,24.9,19,0.65,36,6,62,MATLAB,24,46,17828,48,5,0.77,0.79,July,Q3,2022,22,13
Amrita Vishwa Vidyapeetham,Ananya Iyer 478,Dr. Kavita J.,CHEMICAL,2024-25,3934,9,202,2,152,14,12.2,76,H003,Industry CodeFest,External,Company,State,Online,50,78,3,5,45,21,13,7,1,College,62,109,65,9.5,20.2,26,0.51,31,2,63,AutoCAD,24,46,22632,53,14,0.5,0.73,March,Q2,2025,21,5
Vellore Institute of Technology (VIT),Meera Das 386,Prof. Aruna D.,ECE,2022-23,2831,9,221,2,117,11,19.5,86,H002,College Innovation Hackathon,Internal,College,College,Offline,30,47,9,8,45,11,6,10,2,College,76,194,50,7.1,17.9,15,0.63,26,1,56,Python,22,54,19336,33,16,0.7,0.41,July,Q3,2025,12,16
Thiagarajar College of Engineering,Karthik Gupta 364,Prof. Venkatesh R.,CHEMICAL,2024-25,2622,9,200,4,172,12,14.8,76,H001,Smart India Hackathon,External,Government,National,Offline,97,33,13,9,30,14,14,2,2,College,70,91,69,4.2,15.6,14,0.35,23,12,94,Cloud,35,28,20364,40,9,0.76,0.6,September,Q4,2024,20,4
SRM Institute of Science and Technology,Priya Iyer 569,Prof. Ramesh B.,ECE,2023-24,2993,9,207,4,209,11,10.5,79,H003,Industry CodeFest,External,Company,State,Offline,96,98,24,6,28,20,2,1,3,State,88,97,86,5.7,14.9,11,0.5,40,6,78,Embedded,38,22,21329,52,17,0.76,0.51,January,Q2,2022,17,15
Anna University,Abhishek Patel 327,Dr. Sunita M.,PETROLEUM,2022-23,3733,9,245,3,162,14,10.4,71,H001,Smart India Hackathon,External,Government,National,Online,111,57,18,7,39,7,21,8,1,National,89,186,60,4.5,24.8,33,0.72,26,15,91,AutoCAD,50,19,21035,41,6,0.84,0.63,January,Q4,2024,25,11
Amrita Vishwa Vidyapeetham,Aditi Gupta 184,Dr. Suresh T.,CSE,2024-25,3788,9,259,4,157,8,18.2,77,H001,Smart India Hackathon,External,Government,National,Online,93,29,9,3,38,13,15,2,3,State,73,158,89,7.2,16.0,37,0.67,8,4,88,MATLAB,55,38,25849,50,15,0.58,0.47,July,Q3,2024,24,19
SRM Institute of Science and Technology,Rohan Iyer 684,Dr. Meenakshi P.,MECH,2024-25,3111,9,208,2,136,10,17.0,92,H002,College Innovation Hackathon,Internal,College,College,Offline,60,76,14,7,27,12,5,9,3,,86,118,89,8.3,12.9,19,0.78,10,11,83,AutoCAD,50,31,18310,54,11,0.82,0.68,March,Q1,2023,12,5
Anna University,Rohan Nair 257,Prof. Lakshmi S.,AI&DS,2022-23,2607,9,192,2,165,11,17.2,73,H003,Industry CodeFest,External,Company,State,Online,20,85,8,6,40,18,22,3,2,National,69,195,43,8.9,9.5,28,0.42,7,5,81,MATLAB,22,43,27909,51,8,0.82,0.78,July,Q1,2022,14,7
SASTRA Deemed University,Priya Patel 836,Dr. Sunita M.,PETROLEUM,2024-25,3612,9,247,3,186,8,18.5,84,H002,College Innovation Hackathon,Internal,College,College,Offline,44,29,13,4,39,23,10,2,0,National,85,105,76,7.5,11.3,29,0.73,30,13,87,AutoCAD,25,43,25965,26,8,0.84,0.59,March,Q1,2024,17,11
Kumaraguru College of Technology,Sanjay Verma 651,Dr. Amit V.,CIVIL,2023-24,3692,9,253,3,62,10,16.5,92,H002,College Innovation Hackathon,Internal,College,College,Online,27,100,6,6,29,8,14,10,2,College,80,105,63,7.2,11.7,14,0.54,34,11,81,Embedded,50,52,25880,33,10,0.72,0.64,January,Q4,2024,7,7
Vellore Institute of Technology (VIT),Priya Verma 242,Dr. Suresh T.,CSE,2024-25,2806,9,201,2,143,14,14.4,91,H003,Industry CodeFest,External,Company,State,Online,111,89,18,3,42,17,3,7,1,,74,174,43,6.9,19.4,19,0.66,30,8,55,MATLAB,57,22,15742,47,14,0.73,0.62,January,Q1,2025,6,13
Thiagarajar College of Engineering,Sanjay Iyer 649,Prof. Aruna D.,PHARMACY,2024-25,3993,9,233,2,155,12,14.5,82,H001,Smart India Hackathon,External,Government,National,Offline,30,99,20,4,32,6,7,8,3,State,83,87,93,3.5,8.4,19,0.53,39,13,89,Cloud,34,33,22546,42,7,0.56,0.77,January,Q1,2025,24,4
Anna University,Pooja Gupta 998,Dr. Kavita J.,MECH,2022-23,3716,9,184,2,174,15,16.7,71,H001,Smart India Hackathon,External,Government,National,Online,114,20,15,6,24,20,8,0,1,National,67,177,60,7.0,21.1,36,0.46,24,4,88,MATLAB,46,37,19508,23,8,0.7,0.57,September,Q1,2024,25,16
Anna University,Aditi Patel 484,Dr. Sunita M.,AI&DS,2023-24,3336,9,199,3,136,12,11.8,87,H003,Industry CodeFest,External,Company,State,Offline,50,43,12,9,19,17,3,8,3,,77,165,48,5.8,12.3,20,0.62,33,11,60,Embedded,32,21,19398,44,4,0.8,0.48,March,Q4,2023,15,13
IIT Madras,Arjun Kumar 819,Dr. Kavita J.,CSE,2024-25,2740,9,241,2,122,15,17.0,82,H001,Smart India Hackathon,External,Government,National,Online,90,56,12,6,39,20,22,5,2,National,71,161,71,6.3,21.6,33,0.53,25,6,78,AutoCAD,46,20,24216,34,7,0.46,0.62,September,Q3,2023,11,14
Amrita Vishwa Vidyapeetham,Pooja Patel 626,Dr. Kavita J.,MECH,2022-23,3522,9,250,4,146,10,17.6,85,H003,Industry CodeFest,External,Company,State,Offline,78,36,14,4,18,20,17,2,0,College,86,49,92,7.5,21.0,23,0.37,19,2,64,Python,33,50,22471,43,4,0.7,0.67,September,Q4,2022,5,17
Thiagarajar College of Engineering,Pranav Das 461,Dr. Suresh T.,CSE,2024-25,3062,9,248,1,133,6,15.0,92,H003,Industry CodeFest,External,Company,State,Offline,42,28,6,7,19,10,8,9,2,National,68,131,45,5.7,14.9,28,0.42,19,9,60,Python,25,43,21213,44,18,0.47,0.4,March,Q1,2025,18,14
Thiagarajar College of Engineering,Arjun Patel 527,Dr. Meenakshi P.,ECE,2022-23,3917,9,252,1,181,10,10.5,72,H001,Smart India Hackathon,External,Government,National,Offline,89,87,24,3,21,13,2,3,1,,89,49,59,4.5,12.1,36,0.72,39,10,79,MATLAB,25,50,27213,42,4,0.49,0.49,January,Q3,2025,15,4
Coimbatore Institute of Technology (CIT),Karthik Sharma 261,Prof. Lakshmi S.,CHEMICAL,2022-23,3228,9,250,4,156,12,11.9,88,H002,College Innovation Hackathon,Internal,College,College,Offline,30,94,12,9,25,25,4,1,2,State,72,192,49,7.9,13.4,13,0.35,24,14,78,AutoCAD,26,26,16430,31,16,0.63,0.62,September,Q1,2022,7,15
SASTRA Deemed University,Nisha Gupta 800,Prof. Venkatesh R.,AI&DS,2024-25,3164,9,229,1,63,10,14.1,94,H003,Industry CodeFest,External,Company,State,Online,112,86,10,7,43,8,23,6,1,State,68,107,57,6.5,9.1,23,0.44,24,15,59,AutoCAD,36,33,26811,51,9,0.63,0.45,January,Q4,2024,24,16
Anna University,Sneha Kumar 210,Prof. Ramesh B.,PETROLEUM,2023-24,3833,9,256,4,94,10,13.2,92,H002,College Innovation Hackathon,Internal,College,College,Online,81,55,8,6,30,12,22,7,1,National,72,101,92,8.2,14.2,39,0.58,39,5,90,Python,49,31,22183,38,5,0.78,0.72,September,Q4,2023,25,13
Thiagarajar College of Engineering,Deepak Nair 950,Dr. Suresh T.,MECH,2022-23,3964,9,234,3,156,7,14.5,89,H003,Industry CodeFest,External,Company,State,Offline,94,66,20,7,36,20,3,5,0,College,84,93,82,7.5,10.8,29,0.32,30,10,82,Python,20,24,19239,34,10,0.63,0.56,March,Q3,2022,20,7
Anna University,Pranav Gupta 725,Prof. Lakshmi S.,CHEMICAL,2022-23,3995,9,198,4,149,10,13.4,95,H001,Smart India Hackathon,External,Government,National,Online,86,76,14,6,16,17,16,5,0,National,61,59,41,8.6,19.0,31,0.7,20,5,90,MATLAB,41,53,21985,49,10,0.77,0.65,March,Q4,2025,5,10
Kumaraguru College of Technology,Ishani Nair 946,Dr. Suresh T.,CIVIL,2022-23,3943,9,207,4,112,10,17.5,95,H002,College Innovation Hackathon,Internal,College,College,Online,93,28,20,4,33,13,8,7,0,National,81,155,73,9.3,13.3,22,0.61,12,11,77,Cloud,59,29,26036,39,5,0.72,0.53,March,Q3,2022,10,15
Vellore Institute of Technology (VIT),Rohan Kumar 228,Dr. Sunita M.,EEE,2024-25,2782,9,253,4,158,12,11.9,90,H002,College Innovation Hackathon,Internal,College,College,Online,91,36,18,5,18,8,12,7,0,National,90,32,71,4.3,21.9,40,0.58,36,13,86,Cloud,48,49,17740,25,3,0.77,0.49,January,Q3,2023,22,13
Vellore Institute of Technology (VIT),Karthik Kumar 210,Prof. Lakshmi S.,EEE,2024-25,3514,9,250,4,190,7,15.7,78,H003,Industry CodeFest,External,Company,State,Offline,89,20,17,7,23,16,5,10,1,National,87,38,68,5.1,22.7,12,0.52,12,7,68,Embedded,42,57,25367,47,8,0.7,0.71,March,Q1,2024,22,12
SRM Institute of Science and Technology,Pooja Iyer 909,Dr. Sunita M.,AI&DS,2024-25,3099,9,217,2,206,10,19.5,86,H002,College Innovation Hackathon,Internal,College,College,Online,37,67,4,5,18,25,6,3,1,National,86,93,88,8.6,14.7,14,0.59,22,13,79,Cloud,24,58,27597,25,15,0.66,0.51,July,Q4,2025,15,4
Coimbatore Institute of Technology (CIT),Sneha Iyer 236,Dr. Suresh T.,ECE,2024-25,3928,9,225,4,76,14,14.0,83,H003,Industry CodeFest,External,Company,State,Online,83,49,13,9,28,13,19,9,1,,85,117,83,8.1,8.8,30,0.69,34,0,62,MATLAB,48,47,15011,47,9,0.85,0.76,July,Q2,2024,7,15
PSG College of Technology,Karthik Reddy 785,Prof. Lakshmi S.,CHEMICAL,2024-25,3828,9,201,1,73,12,16.3,93,H002,College Innovation Hackathon,Internal,College,College,Online,74,98,5,8,16,3,8,7,0,State,78,87,73,7.6,8.2,32,0.47,12,13,63,Cloud,24,32,21276,25,6,0.49,0.55,July,Q2,2025,9,8
Amrita Vishwa Vidyapeetham,Sriya Singh 896,Dr. Kavita J.,ECE,2024-25,2836,9,236,1,149,9,16.3,74,H003,Industry CodeFest,External,Company,State,Offline,98,71,9,3,16,7,5,9,3,National,90,139,60,8.2,12.2,30,0.34,40,9,56,AutoCAD,33,51,24943,52,9,0.75,0.52,January,Q2,2025,17,7
SRM Institute of Science and Technology,Ananya Verma 774,Dr. Rajesh K.,MECH,2024-25,2645,9,247,4,63,11,19.3,74,H003,Industry CodeFest,External,Company,State,Offline,92,68,14,7,21,18,4,0,0,College,68,85,42,9.0,24.1,22,0.55,37,13,82,Cloud,25,58,23791,54,7,0.56,0.52,March,Q2,2024,17,6
Kumaraguru College of Technology,Sanjay Gupta 621,Prof. Lakshmi S.,CHEMICAL,2022-23,2618,9,211,4,82,12,11.2,89,H003,Industry CodeFest,External,Company,State,Online,59,100,24,8,21,6,2,2,0,State,75,118,73,6.6,22.0,18,0.38,13,8,62,Python,41,45,19456,53,5,0.56,0.79,January,Q4,2025,21,15
Thiagarajar College of Engineering,Pooja Kumar 163,Dr. Sunita M.,CSE,2022-23,3253,9,200,4,125,7,18.9,91,H003,Industry CodeFest,External,Company,State,Online,49,80,3,3,10,10,3,7,2,,89,68,51,9.1,22.6,27,0.7,31,7,75,MATLAB,46,38,19444,24,14,0.5,0.67,January,Q2,2023,21,5
Thiagarajar College of Engineering,Ishani Kumar 502,Dr. Sunita M.,PHARMACY,2023-24,3136,9,221,1,82,14,14.6,81,H002,College Innovation Hackathon,Internal,College,College,Online,57,87,12,8,25,17,13,9,3,State,83,169,88,8.3,10.6,39,0.51,19,11,95,Python,41,18,27434,44,12,0.49,0.61,March,Q4,2025,6,8
